Image Name,1A,Result 1A,1B,Result 1B,1C,Result 1C,1D,Result 1D,2A,Result 2A,2B,Result 2B,2C,Result 2C,2D,Result 2D,3A,Result 3A,3B,Result 3B,3C,Result 3C,3D,Result 3D,4A,Result 4A,4B,Result 4B,4C,Result 4C,4D,Result 4D,5A,Result 5A,5B,Result 5B,5C,Result 5C,5D,Result 5D,6A,Result 6A,6B,Result 6B,6C,Result 6C,6D,Result 6D,7A,Result 7A,7B,Result 7B,7C,Result 7C,7D,Result 7D,8A,Result 8A,8B,Result 8B,8C,Result 8C,8D,Result 8D,9A,Result 9A,9B,Result 9B,9C,Result 9C,9D,Result 9D,10A,Result 10A,10B,Result 10B,10C,Result 10C,10D,Result 10D,11A,Result 11A,11B,Result 11B,11C,Result 11C,11D,Result 11D,12A,Result 12A,12B,Result 12B,12C,Result 12C,12D,Result 12D,13A,Result 13A,13B,Result 13B,13C,Result 13C,13D,Result 13D,14A,Result 14A,14B,Result 14B,14C,Result 14C,14D,Result 14D,15A,Result 15A,15B,Result 15B,15C,Result 15C,15D,Result 15D,16A,Result 16A,16B,Result 16B,16C,Result 16C,16D,Result 16D,17A,Result 17A,17B,Result 17B,17C,Result 17C,17D,Result 17D,18A,Result 18A,18B,Result 18B,18C,Result 18C,18D,Result 18D,19A,Result 19A,19B,Result 19B,19C,Result 19C,19D,Result 19D,20A,Result 20A,20B,Result 20B,20C,Result 20C,20D,Result 20D,21A,Result 21A,21B,Result 21B,21C,Result 21C,21D,Result 21D,22A,Result 22A,22B,Result 22B,22C,Result 22C,22D,Result 22D,23A,Result 23A,23B,Result 23B,23C,Result 23C,23D,Result 23D,24A,Result 24A,24B,Result 24B,24C,Result 24C,24D,Result 24D,25A,Result 25A,25B,Result 25B,25C,Result 25C,25D,Result 25D,26A,Result 26A,26B,Result 26B,26C,Result 26C,26D,Result 26D,27A,Result 27A,27B,Result 27B,27C,Result 27C,27D,Result 27D,28A,Result 28A,28B,Result 28B,28C,Result 28C,28D,Result 28D,29A,Result 29A,29B,Result 29B,29C,Result 29C,29D,Result 29D,30A,Result 30A,30B,Result 30B,30C,Result 30C,30D,Result 30D,31A,Result 31A,31B,Result 31B,31C,Result 31C,31D,Result 31D,32A,Result 32A,32B,Result 32B,32C,Result 32C,32D,Result 32D,33A,Result 33A,33B,Result 33B,33C,Result 33C,33D,Result 33D,34A,Result 34A,34B,Result 34B,34C,Result 34C,34D,Result 34D,35A,Result 35A,35B,Result 35B,35C,Result 35C,35D,Result 35D,36A,Result 36A,36B,Result 36B,36C,Result 36C,36D,Result 36D,37A,Result 37A,37B,Result 37B,37C,Result 37C,37D,Result 37D,38A,Result 38A,38B,Result 38B,38C,Result 38C,38D,Result 38D,39A,Result 39A,39B,Result 39B,39C,Result 39C,39D,Result 39D,40A,Result 40A,40B,Result 40B,40C,Result 40C,40D,Result 40D,41A,Result 41A,41B,Result 41B,41C,Result 41C,41D,Result 41D,42A,Result 42A,42B,Result 42B,42C,Result 42C,42D,Result 42D,43A,Result 43A,43B,Result 43B,43C,Result 43C,43D,Result 43D,44A,Result 44A,44B,Result 44B,44C,Result 44C,44D,Result 44D,45A,Result 45A,45B,Result 45B,45C,Result 45C,45D,Result 45D,46A,Result 46A,46B,Result 46B,46C,Result 46C,46D,Result 46D,47A,Result 47A,47B,Result 47B,47C,Result 47C,47D,Result 47D,48A,Result 48A,48B,Result 48B,48C,Result 48C,48D,Result 48D,49A,Result 49A,49B,Result 49B,49C,Result 49C,49D,Result 49D,50A,Result 50A,50B,Result 50B,50C,Result 50C,50D,Result 50D,key0_0_0,Result key0_0_0,key0_0_1,Result key0_0_1,key0_0_2,Result key0_0_2,key0_0_3,Result key0_0_3,key0_0_4,Result key0_0_4,key0_0_5,Result key0_0_5,key0_0_6,Result key0_0_6,key0_0_7,Result key0_0_7,key0_0_8,Result key0_0_8,key0_0_9,Result key0_0_9,key0_1_0,Result key0_1_0,key0_1_1,Result key0_1_1,key0_1_2,Result key0_1_2,key0_1_3,Result key0_1_3,key0_1_4,Result key0_1_4,key0_1_5,Result key0_1_5,key0_1_6,Result key0_1_6,key0_1_7,Result key0_1_7,key0_1_8,Result key0_1_8,key0_1_9,Result key0_1_9,key0_2_0,Result key0_2_0,key0_2_1,Result key0_2_1,key0_2_2,Result key0_2_2,key0_2_3,Result key0_2_3,key0_2_4,Result key0_2_4,key0_2_5,Result key0_2_5,key0_2_6,Result key0_2_6,key0_2_7,Result key0_2_7,key0_2_8,Result key0_2_8,key0_2_9,Result key0_2_9,key0_3_0,Result key0_3_0,key0_3_1,Result key0_3_1,key0_3_2,Result key0_3_2,key0_3_3,Result key0_3_3,key0_3_4,Result key0_3_4,key0_3_5,Result key0_3_5,key0_3_6,Result key0_3_6,key0_3_7,Result key0_3_7,key0_3_8,Result key0_3_8,key0_3_9,Result key0_3_9,key0_4_0,Result key0_4_0,key0_4_1,Result key0_4_1,key0_4_2,Result key0_4_2,key0_4_3,Result key0_4_3,key0_4_4,Result key0_4_4,key0_4_5,Result key0_4_5,key0_4_6,Result key0_4_6,key0_4_7,Result key0_4_7,key0_4_8,Result key0_4_8,key0_4_9,Result key0_4_9,key0_5_0,Result key0_5_0,key0_5_1,Result key0_5_1,key0_5_2,Result key0_5_2,key0_5_3,Result key0_5_3,key0_5_4,Result key0_5_4,key0_5_5,Result key0_5_5,key0_5_6,Result key0_5_6,key0_5_7,Result key0_5_7,key0_5_8,Result key0_5_8,key0_5_9,Result key0_5_9,key0_6_0,Result key0_6_0,key0_6_1,Result key0_6_1,key0_6_2,Result key0_6_2,key0_6_3,Result key0_6_3,key0_6_4,Result key0_6_4,key0_6_5,Result key0_6_5,key0_6_6,Result key0_6_6,key0_6_7,Result key0_6_7,key0_6_8,Result key0_6_8,key0_6_9,Result key0_6_9,key0_7_0,Result key0_7_0,key0_7_1,Result key0_7_1,key0_7_2,Result key0_7_2,key0_7_3,Result key0_7_3,key0_7_4,Result key0_7_4,key0_7_5,Result key0_7_5,key0_7_6,Result key0_7_6,key0_7_7,Result key0_7_7,key0_7_8,Result key0_7_8,key0_7_9,Result key0_7_9,key0_8_0,Result key0_8_0,key0_8_1,Result key0_8_1,key0_8_2,Result key0_8_2,key0_8_3,Result key0_8_3,key0_8_4,Result key0_8_4,key0_8_5,Result key0_8_5,key0_8_6,Result key0_8_6,key0_8_7,Result key0_8_7,key0_8_8,Result key0_8_8,key0_8_9,Result key0_8_9,key0_9_0,Result key0_9_0,key0_9_1,Result key0_9_1,key0_9_2,Result key0_9_2,key0_9_3,Result key0_9_3,key0_9_4,Result key0_9_4,key0_9_5,Result key0_9_5,key0_9_6,Result key0_9_6,key0_9_7,Result key0_9_7,key0_9_8,Result key0_9_8,key0_9_9,Result key0_9_9,key1_0_0,Result key1_0_0,key1_1_0,Result key1_1_0
BE24-05-01001.jpg,239.72,94.33,242.77,95.53,110.7,43.56,254.13,100.0,247.24,97.45,251.76,99.23,131.81,51.95,253.71,100.0,244.5,96.69,137.61,54.42,246.34,97.42,252.87,100.0,140.1,55.03,247.41,97.18,250.71,98.47,254.6,100.0,245.26,96.33,136.36,53.56,248.61,97.64,254.61,100.0,248.35,99.3,250.09,100.0,249.24,99.66,132.36,52.92,247.33,97.5,248.94,98.14,133.85,52.77,253.66,100.0,250.09,98.5,248.43,97.84,137.51,54.16,253.91,100.0,245.16,97.4,248.48,98.72,132.44,52.62,251.71,100.0,246.67,98.71,248.01,99.24,249.9,100.0,123.6,49.46,253.79,99.53,254.35,99.75,129.4,50.75,255.0,100.0,254.58,99.84,124.87,48.97,255.0,100.0,255.0,100.0,255.0,100.0,253.14,99.27,255.0,100.0,131.89,51.72,255.0,100.0,254.57,99.83,255.0,100.0,140.8,55.22,254.58,99.84,134.94,52.92,255.0,100.0,255.0,100.0,255.0,100.0,253.73,99.5,255.0,100.0,145.99,57.25,134.91,52.91,254.54,99.82,254.6,99.84,255.0,100.0,253.99,99.6,134.19,52.62,255.0,100.0,255.0,100.0,253.53,99.42,254.14,99.66,255.0,100.0,138.92,54.48,254.58,99.84,255.0,100.0,133.39,52.31,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,134.84,52.88,255.0,100.0,255.0,100.0,147.82,57.97,255.0,100.0,255.0,100.0,255.0,100.0,140.71,55.18,255.0,100.0,255.0,100.0,255.0,100.0,139.89,54.86,255.0,100.0,128.26,50.3,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,148.23,58.13,255.0,100.0,255.0,100.0,255.0,100.0,139.15,54.57,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,139.59,54.74,255.0,100.0,255.0,100.0,141.2,55.37,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,137.87,54.07,123.97,48.62,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,122.83,48.17,255.0,100.0,255.0,100.0,120.35,47.2,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,142.63,55.93,130.98,51.36,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,143.55,56.29,255.0,100.0,255.0,100.0,255.0,100.0,143.09,56.11,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,139.34,54.64,255.0,100.0,255.0,100.0,140.21,54.98,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,146.29,57.37,255.0,100.0,255.0,100.0,151.71,59.49,254.04,99.62,140.76,55.2,255.0,100.0,254.56,99.83,254.65,99.86,255.0,100.0,137.49,53.92,255.0,100.0,254.39,99.76,255.0,100.0,255.0,100.0,255.0,100.0,150.2,58.9,255.0,100.0,150.79,59.13,255.0,100.0,254.26,99.71,138.3,54.24,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,149.62,58.67,255.0,100.0,141.21,55.38,255.0,100.0,253.9,99.57,255.0,100.0,142.97,56.07,255.0,100.0,253.87,99.56,255.0,100.0,255.0,100.0,254.62,99.85,144.24,56.56,243.14,97.04,244.67,97.65,119.69,47.77,250.14,99.84,243.81,97.31,244.31,97.51,245.64,98.04,248.59,99.22,249.63,99.63,250.55,100.0,237.43,95.66,240.15,96.76,239.66,96.56,245.12,98.76,101.35,40.83,242.47,97.69,243.96,98.29,246.52,99.32,246.62,99.36,248.2,100.0,114.49,46.01,238.45,95.83,239.83,96.38,246.06,98.89,240.94,96.83,239.91,96.42,244.98,98.45,244.72,98.35,245.15,98.52,248.83,100.0,242.14,96.93,121.21,48.52,243.68,97.54,249.3,99.79,246.22,98.56,245.78,98.38,244.22,97.76,249.42,99.84,249.82,100.0,248.45,99.45,236.81,95.72,237.59,96.04,112.42,45.44,242.25,97.92,244.67,98.9,243.77,98.54,243.15,98.29,244.8,98.95,243.28,98.34,247.39,100.0,109.82,43.85,243.76,97.33,247.84,98.96,250.45,100.0,248.74,99.32,246.58,98.45,245.17,97.89,248.07,99.05,247.51,98.83,247.65,98.88,246.79,99.26,245.52,98.75,244.27,98.25,248.63,100.0,247.92,99.71,246.83,99.28,244.14,98.19,247.66,99.61,247.49,99.54,118.89,47.82,247.04,97.14,248.18,97.59,105.98,41.67,250.3,98.42,251.39,98.85,251.42,98.86,252.09,99.13,251.53,98.91,253.95,99.86,254.31,100.0,107.02,41.97,250.71,98.32,251.57,98.65,253.44,99.39,252.18,98.89,252.14,98.88,253.49,99.41,251.27,98.54,252.45,99.0,255.0,100.0,252.73,99.29,114.5,44.98,253.66,99.65,254.45,99.96,253.2,99.47,254.55,100.0,253.82,99.71,254.5,99.98,254.13,99.84,254.34,99.92,144.64,100.0,255.0,100.0
BE24-05-01049.jpg,127.71,50.08,248.31,97.38,251.08,98.46,255.0,100.0,253.24,99.69,254.04,100.0,253.13,99.64,134.25,52.85,254.58,99.84,254.61,99.85,141.15,55.35,255.0,100.0,255.0,100.0,254.59,99.84,136.61,53.57,255.0,100.0,255.0,100.0,141.49,55.49,252.75,99.12,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,131.54,51.58,251.39,98.58,255.0,100.0,141.74,55.58,254.61,99.85,254.57,99.83,254.6,99.84,136.13,53.38,255.0,100.0,125.59,49.25,253.29,99.33,251.83,98.76,255.0,100.0,255.0,100.0,252.92,99.18,131.12,51.42,255.0,100.0,253.96,99.59,130.59,51.21,254.17,99.67,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,132.49,51.96,255.0,100.0,255.0,100.0,255.0,100.0,141.04,55.31,255.0,100.0,255.0,100.0,255.0,100.0,143.77,56.38,255.0,100.0,136.8,53.65,255.0,100.0,255.0,100.0,255.0,100.0,254.65,99.86,255.0,100.0,140.95,55.27,255.0,100.0,132.74,52.05,255.0,100.0,255.0,100.0,131.02,51.38,255.0,100.0,255.0,100.0,255.0,100.0,254.32,99.73,255.0,100.0,125.5,49.22,255.0,100.0,255.0,100.0,131.23,51.46,255.0,100.0,255.0,100.0,130.49,51.17,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,147.46,57.83,255.0,100.0,255.0,100.0,255.0,100.0,147.24,57.74,255.0,100.0,255.0,100.0,137.58,53.95,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,135.92,53.3,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,147.18,57.72,255.0,100.0,255.0,100.0,140.06,54.93,255.0,100.0,142.72,55.97,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,254.6,99.84,139.39,54.66,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,136.62,53.58,158.76,62.26,255.0,100.0,255.0,100.0,255.0,100.0,151.42,59.38,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,143.2,56.16,255.0,100.0,255.0,100.0,255.0,100.0,147.34,57.78,255.0,100.0,255.0,100.0,144.98,56.85,255.0,100.0,255.0,100.0,143.7,56.35,255.0,100.0,255.0,100.0,255.0,100.0,150.65,59.08,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,152.53,59.82,255.0,100.0,138.33,54.25,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,143.86,56.42,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,145.38,57.01,254.3,99.73,255.0,100.0,255.0,100.0,142.38,55.84,255.0,100.0,149.44,58.6,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,147.36,57.79,255.0,100.0,255.0,100.0,255.0,100.0,151.9,59.57,255.0,100.0,255.0,100.0,146.15,57.31,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,150.0,58.82,255.0,100.0,255.0,100.0,255.0,100.0,146.55,57.47,140.27,55.01,254.61,99.85,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,139.16,54.57,252.4,98.99,254.52,99.82,120.12,47.11,253.47,99.41,254.51,99.82,254.97,100.0,254.34,99.75,254.17,99.69,254.15,99.68,253.13,99.28,253.93,99.6,254.89,99.98,254.86,99.97,254.66,99.89,129.69,50.87,254.93,100.0,253.81,99.56,254.92,99.99,254.94,100.0,254.9,99.98,125.86,49.36,253.08,99.25,254.11,99.65,254.02,99.62,253.3,99.33,253.73,99.5,252.3,98.94,255.0,100.0,253.58,99.44,254.52,99.81,253.5,99.41,126.05,49.43,252.53,99.03,252.43,98.99,254.56,99.83,253.73,99.5,254.95,99.98,255.0,100.0,254.99,100.0,255.0,100.0,244.54,96.31,241.91,95.28,119.96,47.25,250.42,98.63,251.98,99.24,252.98,99.64,253.65,99.9,253.9,100.0,253.19,99.72,251.09,98.89,122.38,48.0,246.01,96.49,254.18,99.7,254.1,99.67,253.36,99.38,254.19,99.7,254.95,100.0,254.21,99.71,252.54,99.05,251.66,98.71,248.5,97.47,252.25,98.94,252.52,99.05,254.6,99.87,254.42,99.8,254.56,99.85,254.94,100.0,253.07,99.27,238.31,93.48,136.29,53.46,255.0,100.0,254.56,99.83,115.14,45.15,255.0,100.0,254.33,99.74,255.0,100.0,254.28,99.72,254.44,99.78,255.0,100.0,254.83,99.93,255.0,100.0,255.0,100.0,254.89,99.96,255.0,100.0,254.53,99.82,255.0,100.0,136.6,53.57,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,253.44,99.39,137.65,53.98,255.0,100.0,255.0,100.0,142.34,100.0,255.0,100.0
BE24-05-01050.jpg,249.96,98.19,252.7,99.26,254.58,100.0,135.25,53.13,254.11,99.65,254.4,99.76,255.0,100.0,140.23,54.99,254.72,99.89,255.0,100.0,255.0,100.0,140.32,55.03,255.0,100.0,255.0,100.0,255.0,100.0,135.77,53.24,255.0,100.0,142.82,56.01,255.0,100.0,255.0,100.0,254.59,99.84,255.0,100.0,255.0,100.0,133.99,52.55,138.12,54.16,255.0,100.0,255.0,100.0,255.0,100.0,254.57,99.83,143.12,56.13,255.0,100.0,255.0,100.0,253.92,99.58,255.0,100.0,255.0,100.0,134.88,52.89,255.0,100.0,254.43,99.78,136.08,53.36,255.0,100.0,132.42,51.93,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,137.68,53.99,255.0,100.0,255.0,100.0,141.03,55.31,255.0,100.0,136.45,53.51,255.0,100.0,255.0,100.0,255.0,100.0,133.05,52.18,255.0,100.0,255.0,100.0,255.0,100.0,133.65,52.41,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,141.18,55.36,255.0,100.0,255.0,100.0,255.0,100.0,141.26,55.4,255.0,100.0,255.0,100.0,255.0,100.0,134.69,52.82,255.0,100.0,139.47,54.69,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,147.52,57.85,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,153.17,60.07,255.0,100.0,138.34,54.25,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,144.5,56.67,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,148.29,58.15,147.43,57.82,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,155.07,60.81,255.0,100.0,145.07,56.89,255.0,100.0,255.0,100.0,139.03,54.52,255.0,100.0,255.0,100.0,255.0,100.0,138.46,54.3,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,139.12,54.56,255.0,100.0,255.0,100.0,144.35,56.61,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,141.52,55.5,255.0,100.0,255.0,100.0,255.0,100.0,140.83,55.23,255.0,100.0,138.58,54.35,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,146.55,57.47,255.0,100.0,255.0,100.0,255.0,100.0,151.79,59.53,255.0,100.0,143.48,56.27,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,143.3,56.2,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,143.85,56.41,255.0,100.0,255.0,100.0,147.35,57.78,255.0,100.0,255.0,100.0,143.43,56.25,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,142.28,55.8,255.0,100.0,255.0,100.0,142.74,55.98,255.0,100.0,255.0,100.0,255.0,100.0,142.08,55.72,255.0,100.0,145.18,56.93,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,151.48,59.4,255.0,100.0,144.4,56.63,255.0,100.0,255.0,100.0,144.51,56.67,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,147.02,57.65,255.0,100.0,254.74,99.9,119.25,46.76,254.04,99.62,254.03,99.62,252.94,99.19,254.54,99.82,254.01,99.61,252.64,99.07,251.29,98.55,254.54,100.0,254.23,99.88,252.77,99.3,254.27,99.89,121.61,47.78,253.13,99.45,252.95,99.38,251.23,98.7,252.95,99.38,253.62,99.64,110.29,43.45,253.81,100.0,251.77,99.2,253.55,99.9,253.75,99.98,251.86,99.23,251.61,99.13,251.43,99.06,249.33,98.23,248.74,98.0,254.79,100.0,125.5,49.26,254.45,99.87,254.59,99.92,254.24,99.78,254.56,99.91,254.33,99.82,254.55,99.91,253.88,99.64,253.41,99.46,253.72,99.5,251.46,98.61,119.9,47.02,255.0,100.0,254.3,99.73,253.78,99.52,253.47,99.4,253.89,99.56,251.66,98.69,254.31,99.73,106.93,41.93,255.0,100.0,254.57,99.83,255.0,100.0,254.28,99.72,254.54,99.82,255.0,100.0,255.0,100.0,255.0,100.0,254.08,99.64,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,254.01,99.61,253.68,99.48,118.3,46.39,255.0,100.0,254.59,99.84,118.74,46.56,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,254.84,99.94,255.0,100.0,255.0,100.0,254.81,99.93,255.0,100.0,255.0,100.0,255.0,100.0,116.98,45.87,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,254.91,99.96,254.76,99.91,128.7,50.47,255.0,100.0,255.0,100.0,143.44,100.0
BE24-05-01051.png,127.73,50.09,252.35,98.96,252.5,99.02,255.0,100.0,255.0,100.0,253.5,99.41,254.77,99.91,135.23,53.03,255.0,100.0,255.0,100.0,141.96,55.67,255.0,100.0,255.0,100.0,255.0,100.0,137.21,53.81,255.0,100.0,255.0,100.0,142.29,55.8,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,132.5,51.96,254.14,99.66,254.79,99.92,142.07,55.71,255.0,100.0,255.0,100.0,254.14,99.66,137.95,54.1,255.0,100.0,125.91,49.38,254.57,99.83,253.64,99.47,255.0,100.0,255.0,100.0,255.0,100.0,131.36,51.51,255.0,100.0,254.12,99.65,131.14,51.43,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,132.73,52.05,255.0,100.0,255.0,100.0,255.0,100.0,142.5,55.88,255.0,100.0,255.0,100.0,255.0,100.0,143.86,56.42,255.0,100.0,137.65,53.98,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,141.62,55.54,255.0,100.0,134.01,52.55,255.0,100.0,255.0,100.0,132.05,51.78,255.0,100.0,255.0,100.0,255.0,100.0,254.77,99.91,255.0,100.0,128.64,50.45,255.0,100.0,255.0,100.0,132.5,51.96,255.0,100.0,255.0,100.0,130.0,50.98,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,146.13,57.31,255.0,100.0,255.0,100.0,255.0,100.0,147.43,57.82,255.0,100.0,255.0,100.0,137.73,54.01,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,136.54,53.55,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,147.24,57.74,255.0,100.0,255.0,100.0,142.05,55.71,255.0,100.0,142.28,55.8,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,141.21,55.38,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,137.77,54.03,158.64,62.21,255.0,100.0,255.0,100.0,255.0,100.0,151.07,59.24,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,145.77,57.16,255.0,100.0,255.0,100.0,255.0,100.0,147.25,57.75,255.0,100.0,255.0,100.0,146.91,57.61,255.0,100.0,255.0,100.0,143.18,56.15,255.0,100.0,255.0,100.0,255.0,100.0,151.68,59.48,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,154.19,60.47,255.0,100.0,140.29,55.02,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,143.95,56.45,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,145.07,56.89,255.0,100.0,255.0,100.0,255.0,100.0,144.93,56.84,255.0,100.0,150.21,58.91,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,148.9,58.39,255.0,100.0,255.0,100.0,255.0,100.0,152.17,59.67,255.0,100.0,255.0,100.0,145.49,57.05,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,150.2,58.9,255.0,100.0,255.0,100.0,255.0,100.0,147.71,57.93,139.29,54.62,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,140.88,55.25,252.94,99.19,255.0,100.0,116.96,45.87,254.49,99.8,254.74,99.9,254.52,99.81,255.0,100.0,254.75,99.9,254.74,99.9,254.23,99.7,254.49,99.8,255.0,100.0,253.97,99.6,255.0,100.0,129.12,50.64,254.52,99.81,255.0,100.0,254.0,99.61,255.0,100.0,254.5,99.8,123.39,48.39,254.23,99.7,253.97,99.6,254.49,99.8,255.0,100.0,254.5,99.8,255.0,100.0,255.0,100.0,255.0,100.0,254.75,99.9,253.07,99.24,124.36,48.77,254.76,99.91,254.28,99.72,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,251.4,98.59,254.23,99.7,115.42,45.26,254.0,99.61,253.75,99.51,254.76,99.91,255.0,100.0,255.0,100.0,255.0,100.0,254.75,99.9,122.62,48.09,253.2,99.29,254.74,99.9,254.74,99.9,254.5,99.8,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,254.23,99.7,253.97,99.6,254.74,99.9,255.0,100.0,255.0,100.0,254.77,99.91,255.0,100.0,255.0,100.0,246.79,96.78,131.73,51.66,255.0,100.0,255.0,100.0,114.9,45.06,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,135.72,53.22,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,255.0,100.0,134.22,52.64,255.0,100.0,255.0,100.0,143.36,100.0,255.0,100.0
