image_name,anchor_1,anchor_2,anchor_3,anchor_4
BE24-05-04001.jpg,"{'center': [78, 267], 'bbox': [65, 255, 91, 279]}","{'center': [1575, 282], 'bbox': [1563, 270, 1588, 294]}","{'center': [78, 2211], 'bbox': [65, 2199, 92, 2224]}","{'center': [1576, 2211], 'bbox': [1563, 2199, 1589, 2223]}"
BE24-05-04002.jpg,"{'center': [77, 265], 'bbox': [65, 253, 90, 277]}","{'center': [1575, 279], 'bbox': [1563, 267, 1588, 291]}","{'center': [79, 2209], 'bbox': [66, 2197, 92, 2221]}","{'center': [1576, 2209], 'bbox': [1563, 2197, 1589, 2221]}"
BE24-05-04003.jpg,"{'center': [78, 266], 'bbox': [65, 254, 91, 279]}","{'center': [1575, 281], 'bbox': [1563, 269, 1588, 293]}","{'center': [78, 2207], 'bbox': [65, 2194, 91, 2220]}","{'center': [1575, 2208], 'bbox': [1562, 2196, 1588, 2220]}"
BE24-05-04004.jpg,"{'center': [77, 265], 'bbox': [64, 253, 90, 277]}","{'center': [1573, 277], 'bbox': [1561, 265, 1586, 290]}","{'center': [80, 2202], 'bbox': [67, 2190, 93, 2215]}","{'center': [1577, 2200], 'bbox': [1564, 2188, 1590, 2213]}"
BE24-05-04005.jpg,"{'center': [79, 263], 'bbox': [66, 252, 92, 275]}","{'center': [1576, 278], 'bbox': [1563, 266, 1589, 290]}","{'center': [77, 2199], 'bbox': [64, 2187, 90, 2211]}","{'center': [1575, 2201], 'bbox': [1562, 2189, 1588, 2213]}"
BE24-05-04006.jpg,"{'center': [80, 264], 'bbox': [67, 253, 93, 276]}","{'center': [1577, 281], 'bbox': [1564, 269, 1590, 293]}","{'center': [77, 2205], 'bbox': [64, 2193, 90, 2218]}","{'center': [1575, 2207], 'bbox': [1562, 2195, 1588, 2220]}"
BE24-05-04007.jpg,"{'center': [80, 266], 'bbox': [67, 254, 93, 278]}","{'center': [1576, 281], 'bbox': [1564, 269, 1589, 293]}","{'center': [79, 2208], 'bbox': [66, 2196, 92, 2221]}","{'center': [1576, 2209], 'bbox': [1564, 2197, 1589, 2222]}"
BE24-05-04008.jpg,"{'center': [79, 268], 'bbox': [66, 256, 92, 280]}","{'center': [1576, 283], 'bbox': [1563, 271, 1589, 295]}","{'center': [79, 2208], 'bbox': [66, 2195, 92, 2221]}","{'center': [1576, 2208], 'bbox': [1564, 2196, 1589, 2221]}"
BE24-05-04009.jpg,"{'center': [78, 266], 'bbox': [65, 254, 91, 279]}","{'center': [1575, 280], 'bbox': [1562, 268, 1588, 292]}","{'center': [80, 2204], 'bbox': [68, 2192, 93, 2217]}","{'center': [1577, 2203], 'bbox': [1564, 2191, 1590, 2215]}"
BE24-05-04010.jpg,"{'center': [79, 266], 'bbox': [66, 254, 92, 279]}","{'center': [1575, 278], 'bbox': [1563, 267, 1588, 290]}","{'center': [81, 2202], 'bbox': [68, 2190, 95, 2214]}","{'center': [1580, 2199], 'bbox': [1567, 2187, 1593, 2211]}"
BE24-05-04011.jpg,"{'center': [78, 265], 'bbox': [66, 253, 91, 278]}","{'center': [1575, 279], 'bbox': [1562, 267, 1588, 291]}","{'center': [79, 2202], 'bbox': [66, 2190, 92, 2214]}","{'center': [1576, 2202], 'bbox': [1563, 2190, 1589, 2214]}"
BE24-05-04012.jpg,"{'center': [79, 268], 'bbox': [66, 256, 92, 280]}","{'center': [1575, 280], 'bbox': [1563, 268, 1588, 292]}","{'center': [80, 2202], 'bbox': [67, 2190, 93, 2214]}","{'center': [1576, 2202], 'bbox': [1563, 2191, 1589, 2214]}"
BE24-05-04013.jpg,"{'center': [78, 270], 'bbox': [66, 258, 91, 282]}","{'center': [1576, 282], 'bbox': [1563, 270, 1589, 294]}","{'center': [79, 2209], 'bbox': [66, 2197, 92, 2221]}","{'center': [1577, 2208], 'bbox': [1564, 2196, 1590, 2220]}"
