image_name,anchor_1,anchor_2,anchor_3,anchor_4,skew_angle,Warnings
BE24-05-01001.jpg,"[81, 297]","[1576, 293]","[82, 2220]","[1577, 2235]",-0.1533,
BE24-05-01017.jpg,,,"[83, 2190]",,,Error
BE24-05-01049.jpg,"[81, 297]","[1576, 293]","[82, 2220]","[1577, 2235]",-0.1533,
BE24-05-01050.jpg,"[81, 297]","[1576, 293]","[82, 2220]","[1577, 2235]",-0.1533,
BE24-05-01051.png,"[81, 297]","[1576, 293]","[82, 2220]","[1577, 2235]",-0.1533,
BE24-05-01052.png,"[82, 287]",,,"[1585, 2221]",,Error
BE24-05-01053.png,,"[1569, 276]","[82, 2213]",,,Error
