image_name,anchor_1,anchor_2,anchor_3,anchor_4,skew_angle,Warnings
BE24-05-01001.jpg,"[81, 298]","[1577, 294]","[82, 2221]","[1578, 2237]",-0.1532,
BE24-05-01017.jpg,,,"[83, 2190]",,,Error
BE24-05-01049.jpg,"[76, 287]","[1579, 276]","[83, 2213]","[1586, 2221]",-0.4193,
BE24-05-01050.jpg,"[82, 283]","[1577, 278]","[81, 2210]","[1577, 2224]",-0.1916,
BE24-05-01051.png,"[79, 287]","[1545, 276]","[116, 2213]","[1586, 2221]",-0.4299,
BE24-05-01052.png,"[82, 287]",,,"[1585, 2221]",,Error
BE24-05-01053.png,,"[1569, 276]","[82, 2213]",,,Error
