image_name,anchor_1,anchor_2,anchor_3,anchor_4,skew_angle,Warnings
BATCH9001.jpg,"[107, 204]","[1572, 208]","[107, 2161]","[1573, 2166]",0.1564,
BATCH9002.jpg,"[110, 203]","[1575, 210]","[107, 2159]","[1572, 2167]",0.2738,
BATCH9003.jpg,"[107, 203]","[1572, 209]","[104, 2159]","[1569, 2166]",0.2347,
BATCH9004.jpg,"[112, 201]","[1576, 209]","[108, 2157]","[1572, 2166]",0.3131,
BATCH9005.jpg,"[109, 202]","[1573, 209]","[104, 2157]","[1568, 2166]",0.274,
BATCH9006.jpg,"[109, 201]","[1573, 208]","[106, 2157]","[1571, 2164]",0.274,
BATCH9007.jpg,"[113, 202]","[1572, 210]","[108, 2154]","[1567, 2160]",0.3142,
BATCH9008.jpg,"[109, 202]","[1573, 207]","[107, 2158]","[1572, 2164]",0.1957,
BATCH9009.jpg,"[107, 202]","[1572, 206]","[106, 2157]","[1572, 2163]",0.1564,
BATCH9010.jpg,"[108, 201]","[1573, 208]","[105, 2158]","[1571, 2165]",0.2738,
BATCH9011.jpg,"[112, 201]","[1575, 209]","[106, 2157]","[1571, 2166]",0.3133,
BATCH9012.jpg,"[106, 203]","[1570, 207]","[105, 2159]","[1571, 2164]",0.1565,
BATCH9013.jpg,"[109, 202]","[1574, 210]","[106, 2160]","[1571, 2168]",0.3129,
BATCH9014.jpg,"[103, 205]","[1568, 206]","[107, 2163]","[1571, 2165]",0.0391,
BATCH9015.jpg,"[113, 201]","[1577, 208]","[109, 2159]","[1574, 2166]",0.274,
BATCH9016.jpg,"[113, 201]","[1577, 208]","[110, 2158]","[1575, 2165]",0.274,
BATCH9017.jpg,"[109, 204]","[1573, 208]","[109, 2161]","[1573, 2166]",0.1565,
BATCH9018.jpg,"[114, 199]","[1578, 209]","[109, 2157]","[1573, 2166]",0.3914,
BATCH9019.jpg,"[108, 203]","[1572, 207]","[107, 2159]","[1572, 2164]",0.1565,
BATCH9020.jpg,"[113, 203]","[1577, 210]","[109, 2160]","[1575, 2167]",0.274,
BATCH9021.jpg,"[109, 205]","[1573, 208]","[110, 2161]","[1575, 2165]",0.1174,
BATCH9022.jpg,"[112, 201]","[1576, 208]","[109, 2159]","[1574, 2165]",0.274,
BATCH9023.jpg,"[111, 203]","[1575, 209]","[109, 2160]","[1575, 2166]",0.2348,
BATCH9024.jpg,"[110, 202]","[1575, 209]","[108, 2159]","[1573, 2166]",0.2738,
BATCH9025.jpg,"[110, 202]","[1575, 209]","[109, 2159]","[1574, 2166]",0.2738,
BATCH9026.jpg,"[105, 198]","[1570, 203]","[104, 2154]","[1569, 2160]",0.1955,
BATCH9027.jpg,"[112, 202]","[1576, 211]","[107, 2159]","[1572, 2167]",0.3522,
BATCH9028.jpg,"[108, 203]","[1573, 206]","[110, 2159]","[1575, 2163]",0.1173,
BATCH9029.jpg,"[112, 202]","[1576, 209]","[108, 2159]","[1573, 2167]",0.274,
BATCH9030.jpg,"[111, 203]","[1576, 208]","[109, 2159]","[1574, 2165]",0.1955,
BATCH9031.jpg,"[113, 202]","[1577, 210]","[109, 2159]","[1574, 2166]",0.3131,
BATCH9032.jpg,"[110, 202]","[1575, 207]","[108, 2158]","[1574, 2164]",0.1955,
BATCH9033.jpg,"[110, 205]","[1575, 206]","[113, 2160]","[1578, 2164]",0.0391,
BATCH9034.jpg,"[109, 201]","[1573, 207]","[105, 2157]","[1570, 2164]",0.2348,
BATCH9035.jpg,"[110, 200]","[1574, 209]","[106, 2157]","[1570, 2166]",0.3522,
BATCH9036.jpg,"[109, 203]","[1573, 210]","[106, 2159]","[1571, 2167]",0.274,
BATCH9037.jpg,"[109, 200]","[1573, 208]","[106, 2156]","[1571, 2164]",0.3131,
BATCH9038.jpg,"[108, 204]","[1572, 209]","[107, 2160]","[1572, 2166]",0.1957,
BATCH9039.jpg,"[107, 205]","[1571, 206]","[109, 2160]","[1574, 2164]",0.0391,
BATCH9040.jpg,"[115, 209]","[1569, 208]","[119, 2154]","[1575, 2153]",-0.0394,
